# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
#
8	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1705	Eight	valu	valu	Hovdhaugen-375-2009	89600	663			v a l u
251	Wallisian	Uvea, East	wall1257	1705	Eight	valu	valu	POLLEX	90435	663			v a l u
725	Maori	Maori	maor1246	1705	Eight	waru	waru	Biggs-85-2005	87872	663			w a r u
949	Kapingamarangi	Kapingamarangi	kapi1249	1705	Eight	walu	walu	POLLEX	90454	663		waru	w a l u
1169	Tahitian	Tahitian (Modern)	tahi1242	1705	Eight	va'u	va'u	Clark-173-2005	102829	663		varu	v a ʔ u
1401	Emae	Emae (Makatea)	emae1237	1705	Eight	βaru	βaru	52375	265923	663			β a r u
1595	Rapanui	Rapanui (Easter Island)	rapa1244	1705	Eight	va'u	va'u	POLLEX	130627	663			v a ʔ u
1853	Mangareva	Mangareva	mang1401	1705	Eight	varu	varu	POLLEX	321427	663			v a r u
2114	Luangiua	Luangiua	onto1237	1705	Eight	valu	valu	POLLEX	90541	663			v a l u
2336	Tongan	Tongan	tong1325	1705	Eight	valu	valu	117207	90658	663			v a l u
2823	Tikopia	Tikopia	tiko1237	1705	Eight	varu	varu	POLLEX	90636	663			v a r u
3076	Sikaiana	Sikaiana	sika1261	1705	Eight	valu	valu	POLLEX	90606	663			v a l u
3297	North_Marquesan	Marquesan	nort2845	1705	Eight	va'u	va'u	POLLEX	128561	663			v a ʔ u
3591	East_Futunan	Futuna, East	east2447	1705	Eight	valu	valu	POLLEX	90900	663		valu	v a l u
3897	Pukapuka	Pukapuka	puka1242	1705	Eight	valu	valu	Salisbury-152-2005	89951	663			v a l u
4201	Mele_Fila	Fila	mele1250	1705	Eight	eβaru	eβaru	52375	265932	663			β a r u
4395	Ra’ivavae	Ra'ivavae	aust1304	1705	Eight	vaGu	vaGu	Tamaititahio-1213-2015	291337	663			v a ɢ u
4592	Tuamotuan	Tuamotu	tuam1242	1705	Eight	varu	varu	POLLEX	90908	663			v a r u
4855	Niuean	Niue	niue1239	1705	Eight	valu	valu	POLLEX	90493	663			v a l u
5101	Rurutuan	Rurutuan	aust1304	1705	Eight	vaʔu	vaʔu	Meyer-128-2005	165162	663			v a ʔ u
5359	Futuna_Aniwa	Futuna-Aniwa	futu1245	1705	Eight	varu	varu	POLLEX	90950	663			v a r u
5614	Hawaiian	Hawaiian	hawa1245	1705	Eight	walu	walu	71458	90441	663			w a l u
5850	Rarotongan	Rarotongan	raro1241	1705	Eight	varu	varu	POLLEX	90596	663			v a r u
6152	Penryhn	Penrhyn	penr1237	1705	Eight	varu	varu	POLLEX	90594	663			v a r u
6362	Nukuria	Nukeria	nuku1259	1705	Eight	varu	varu	Davletshin-1212-2015	290908	663			v a r u
6623	Samoan	Samoan	samo1305	1705	Eight	valu	valu	Blust-118-2005	90598	663			v a l u
6914	Rennell_Bellona	Rennellese	renn1242	1705	Eight	baŋgu	baŋgu	POLLEX	146566	663			b a ŋg u
7179	Tuvalu	Nanumea	tuva1244	1705	Eight	valu	valu	29903	192222	663			v a l u
